year,category,name_of_work,staff_members
1972,DOCUMENTARY (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
1972,DOCUMENTARY (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
1972,MUSIC (Song--Original for the Picture),"""Come Follow, Follow Me"" from The Little Ark",Music by Fred Karlin; Lyrics by Marsha Karlin
1972,MUSIC (Song--Original for the Picture),"""Marmalade, Molasses & Honey"" from The Life and Times of Judge Roy Bean",Music by Maurice Jarre; Lyrics by Marilyn Bergman and Alan Bergman
1972,WRITING (Screenplay--based on material from another medium),Cabaret,Jay Allen
1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Lady Sings the Blues,"Terence McCloy, Chris Clark, Suzanne de Passe"
1973,DOCUMENTARY (Feature),Walls of Fire,"Gertrude Ross Marks and Edmund F. Penney, Producers"
1973,DOCUMENTARY (Short Subject),Four Stones for Kanemitsu,"Terry Sanders and June Wayne, Producers"
1973,MUSIC (Song),"""Live And Let Die"" from Live and Let Die",Music and Lyrics by Paul McCartney and Linda McCartney
1973,MUSIC (Song),"""The Way We Were"" from The Way We Were",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1973,BEST PICTURE,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),American Graffiti,"George Lucas, Gloria Katz, Willard Huyck"
1974,DOCUMENTARY (Feature),Antonia: A Portrait of the Woman,"Judy Collins and Jill Godmilow, Producers"
1974,DOCUMENTARY (Feature),The Wild and the Brave,"Natalie R. Jones and Eugene S. Jones, Producers"
1974,DOCUMENTARY (Short Subject),John Muir's High Sierra,"Dewitt Jones and Lesley Foster, Producers"
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Little Prince,Song Score by Alan Jay Lerner and Frederick Loewe; Adaptation Score by Angela Morley and Douglas Gamley
1974,MUSIC (Song),"""Benji's Theme (I Feel Love)"" from Benji",Music by Euel Box; Lyrics by Betty Box
1974,SHORT FILM (Animated),Voyage to Next,"Faith Hubley and John Hubley, Producers"
1974,SHORT FILM (Live Action),The Concert,"Julian Chagrin and Claude Chagrin, Producers"
1974,WRITING (Original Screenplay),Day for Night,"Francois Truffaut, Jean-Louis Richard, Suzanne Schiffman"
1975,DOCUMENTARY (Feature),The Other Half of the Sky: A China Memoir,"Shirley MacLaine, Producer"
1975,DOCUMENTARY (Short Subject),Arthur and Lillie,"Jon Else, Steven Kovacs and Kristine Samuelson, Producers"
1975,DOCUMENTARY (Short Subject),The End of the Game,"Claire Wilbur and Robin Lehman, Producers"
1975,WRITING (Screenplay Adapted from Other Material),The Man Who Would Be King,"John Huston, Gladys Hill"
1976,DIRECTING,Seven Beauties,Lina Wertmüller
1976,DOCUMENTARY (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer"
1976,DOCUMENTARY (Short Subject),Number Our Days,"Lynne Littman, Producer"
1976,MUSIC (Original Song),"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born",Music by Barbra Streisand; Lyrics by Paul Williams
1976,MUSIC (Original Song),"""Gonna Fly Now"" from Rocky",Music by Bill Conti; Lyrics by Carol Connors and Ayn Robbins
1976,BEST PICTURE,Taxi Driver,"Michael Phillips and Julia Phillips, Producers"
1976,SHORT FILM (Animated),Leisure,"Suzanne Baker, Producer"
1976,SHORT FILM (Animated),The Street,"Caroline Leaf and Guy Glover, Producers"
1976,SHORT FILM (Live Action),Kudzu,"Marjorie Anne Short, Producer"
1976,SHORT FILM (Live Action),The Morning Spider,"Julian Chagrin and Claude Chagrin, Producers"
1976,SHORT FILM (Live Action),Nightlife,"Claire Wilbur and Robin Lehman, Producers"
1976,SHORT FILM (Live Action),Number One,"Dyan Cannon and Vince Cannon, Producers"
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),"Cousin, Cousine",Story and Screenplay by Jean-Charles Tacchella; Adaptation by Daniele Thompson
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Seven Beauties,Lina Wertmüller
1977,DOCUMENTARY (Feature),Union Maids,"James Klein, Julia Reichert and Miles Mogulescu, Producers"
1977,DOCUMENTARY (Short Subject),First Edition,"Helen Whitney and DeWitt L. Sage, Jr., Producers"
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),The Slipper and the Rose--The Story of Cinderella,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley
1977,MUSIC (Original Song),"""Nobody Does It Better"" from The Spy Who Loved Me",Music by Marvin Hamlisch; Lyrics by Carole Bayer Sager
1977,MUSIC (Original Song),"""Someone's Waiting For You"" from The Rescuers",Music by Sammy Fain; Lyrics by Carol Connors and Ayn Robbins
1977,SHORT FILM (Animated),The Doonesbury Special,"John Hubley, Faith Hubley and Garry Trudeau, Producers"
1977,SHORT FILM (Live Action),I'll Find a Way,"Beverly Shaffer and Yuki Yoshida, Producers"
1978,DOCUMENTARY (Feature),With Babies and Banners: Story of the Women's Emergency Brigade,"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers"
1978,DOCUMENTARY (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
1978,MUSIC (Original Song),"""The Last Time I Felt Like This"" from Same Time, Next Year",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1978,SHORT FILM (Animated),Special Delivery,"Eunice Macaulay and John Weldon, Producers"
1978,SHORT FILM (Live Action),A Different Approach,"Jim Belcher and Fern Field, Producers"
1978,WRITING (Screenplay Based on Material from Another Medium),Heaven Can Wait,"Elaine May, Warren Beatty"
1978,WRITING (Screenplay Written Directly for the Screen),Coming Home,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
1979,MUSIC (Original Song),"""I'll Never Say 'Goodbye'"" from The Promise",Music by David Shire; Lyric by Alan Bergman and Marilyn Bergman
1979,MUSIC (Original Song),"""Through The Eyes Of Love"" from Ice Castles",Music by Marvin Hamlisch; Lyric by Carole Bayer Sager
1979,BEST PICTURE,Norma Rae,"Tamara Asseyev and Alex Rose, Producers"
1979,SHORT FILM (Live Action),Board and Care,"Sarah Pillsbury and Ron Ellis, Producers"
1979,SHORT FILM (Live Action),"Oh Brother, My Brother","Carol Lowell and Ross Lowell, Producers"
1979,WRITING (Screenplay Based on Material from Another Medium),Norma Rae,"Irving Ravetch, Harriet Frank, Jr."
1979,WRITING (Screenplay Written Directly for the Screen),...And Justice for All,"Valerie Curtin, Barry Levinson"
1980,MUSIC (Original Song),"""Nine To Five"" from Nine to Five",Music and Lyric by Dolly Parton
1980,MUSIC (Original Song),"""Out Here On My Own"" from Fame",Music by Michael Gore; Lyric by Lesley Gore
1980,SHORT FILM (Dramatic Live Action),A Jury of Her Peers,"Sally Heckel, Producer"
1980,WRITING (Screenplay Written Directly for the Screen),Private Benjamin,"Nancy Meyers, Charles Shyer, Harvey Miller"
1981,DOCUMENTARY (Feature),Against Wind and Tide: A Cuban Odyssey,"Suzanne Bauman, Paul Neshamkin and Jim Burroughs, Producers"
1981,DOCUMENTARY (Feature),Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,"Mary Benjamin, Susanne Simpson and Boyd Estus, Producers"
1981,DOCUMENTARY (Feature),El Salvador: Another Vietnam,"Glenn Silber and Tete Vasconcellos, Producers"
1981,DOCUMENTARY (Short Subject),See What I Say,"Linda Chapman, Pam LeBlanc and Freddi Stevens, Producers"
1981,MUSIC (Original Song),"""Arthur's Theme (Best That You Can Do)"" from Arthur","Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
1981,SHORT FILM (Animated),The Tender Tale of Cinderella Penguin,"Janet Perlman, Producer"
1981,SHORT FILM (Live Action),Couples and Robbers,"Christine Oestreicher, Producer"
1981,SHORT FILM (Live Action),Violet,"Paul Kemp and Shelley Levinson, Producers"
1981,WRITING (Screenplay Based on Material from Another Medium),Prince of the City,"Jay Presson Allen, Sidney Lumet"
1982,DOCUMENTARY (Feature),In Our Water,"Meg Switzgable, Producer"
1982,DOCUMENTARY (Short Subject),If You Love This Planet,"Edward Le Lorrain and Terri Nash, Producers"
1982,DOCUMENTARY (Short Subject),To Live or Let Die,"Freida Lee Mock, Producer"
1982,MUSIC (Original Song),"""How Do You Keep The Music Playing?"" from Best Friends",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1982,MUSIC (Original Song),"""If We Were In Love"" from Yes, Giorgio",Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman
1982,MUSIC (Original Song),"""It Might Be You"" from Tootsie",Music by Dave Grusin; Lyric by Alan Bergman and Marilyn Bergman
1982,MUSIC (Original Song),"""Up Where We Belong"" from An Officer and a Gentleman",Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
1982,BEST PICTURE,E.T. The Extra-Terrestrial,"Steven Spielberg and Kathleen Kennedy, Producers"
1982,BEST PICTURE,Missing,"Edward Lewis and Mildred Lewis, Producers"
1982,SHORT FILM (Live Action),A Shocking Accident,"Christine Oestreicher, Producer"
1982,WRITING (Screenplay Written Directly for the Screen),E.T. The Extra-Terrestrial,Melissa Mathison
1983,DOCUMENTARY (Feature),First Contact,"Bob Connolly and Robin Anderson, Producers"
1983,DOCUMENTARY (Feature),The Profession of Arms,"Michael Bryans and Tina Viljoen, Producers"
1983,DOCUMENTARY (Feature),Seeing Red,"James Klein and Julia Reichert, Producers"
1983,DOCUMENTARY (Short Subject),Flamenco at 5:15,"Cynthia Scott and Adam Symansky, Producers"
1983,DOCUMENTARY (Short Subject),In the Nuclear Shadow: What Can the Children Tell Us?,"Vivienne Verdon-Roe and Eric Thiermann, Producers"
1983,DOCUMENTARY (Short Subject),You Are Free (Ihr Zent Frei),"Dea Brokman and Ilene Landis, Producers"
1983,MUSIC (Original Song Score or Adaptation Score),Yentl,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
1983,MUSIC (Original Song),"""Flashdance...What A Feeling"" from Flashdance",Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
1983,MUSIC (Original Song),"""Papa, Can You Hear Me?"" from Yentl",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1983,MUSIC (Original Song),"""The Way He Makes Me Feel"" from Yentl",Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
1983,SHORT FILM (Animated),Sound of Sunshine - Sound of Rain,"Eda Godel Hallinan, Producer"
1983,SHORT FILM (Live Action),Boys and Girls,"Janice L. Platt, Producer"
1983,WRITING (Screenplay Written Directly for the Screen),The Big Chill,"Lawrence Kasdan, Barbara Benedek"
1983,WRITING (Screenplay Written Directly for the Screen),Silkwood,"Nora Ephron, Alice Arlen"
1984,DOCUMENTARY (Feature),High Schools,"Charles Guggenheim and Nancy Sloss, Producers"
1984,DOCUMENTARY (Feature),Streetwise,"Cheryl McCall, Producer"
1984,DOCUMENTARY (Short Subject),Code Gray: Ethical Dilemmas in Nursing,"Ben Achtenberg and Joan Sawyer, Producers"
1984,DOCUMENTARY (Short Subject),Recollections of Pavlovsk,"Irina Kalinina, Producer"
1984,DOCUMENTARY (Short Subject),The Stone Carvers,"Marjorie Hunt and Paul Wagner, Producers"
1984,BEST PICTURE,Places in the Heart,"Arlene Donovan, Producer"
1984,SHORT FILM (Live Action),The Painted Door,"Michael MacMillan and Janice L. Platt, Producers"
1984,SHORT FILM (Live Action),Tales of Meeting and Parting,"Sharon Oreck and Lesli Linka Glatter, Producers"
1984,WRITING (Screenplay Written Directly for the Screen),El Norte,"Gregory Nava, Anna Thomas"
1985,DOCUMENTARY (Feature),Broken Rainbow,"Maria Florio and Victoria Mudd, Producers"
1985,DOCUMENTARY (Feature),Las Madres--The Mothers of Plaza de Mayo,"Susana Muñoz and Lourdes Portillo, Producers"
1985,DOCUMENTARY (Short Subject),Making Overtures--The Story of a Community Orchestra,"Barbara Willis Sweete, Producer"
1985,BEST PICTURE,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers"
1985,SHORT FILM (Animated),Anna & Bella,"Cilia Van Dijk, Producer"
1985,SHORT FILM (Animated),Second Class Mail,"Alison Snowden, Producer"
1985,SHORT FILM (Live Action),Graffiti,"Dianna Costello, Producer"
1985,WRITING (Screenplay Based on Material from Another Medium),Prizzi's Honor,"Richard Condon, Janet Roach"
1985,WRITING (Screenplay Written Directly for the Screen),The Official Story,"Luis Puenzo, Aida Bortnik"
1985,WRITING (Screenplay Written Directly for the Screen),Witness,"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1986,DOCUMENTARY (Feature),Artie Shaw: Time Is All You've Got,"Brigitte Berman, Producer"
1986,DOCUMENTARY (Feature),Witness to Apartheid,"Sharon I. Sopher, Producer"
1986,DOCUMENTARY (Short Subject),Debonair Dancers,"Alison Nigh-Strelich, Producer"
1986,DOCUMENTARY (Short Subject),The Masters of Disaster,"Sonya Friedman, Producer"
1986,DOCUMENTARY (Short Subject),Red Grooms: Sunflower in a Hothouse,"Thomas L. Neff and Madeline Bell, Producers"
1986,DOCUMENTARY (Short Subject),"Women--for America, for the World","Vivienne Verdon-Roe, Producer"
1986,MUSIC (Original Song),"""Glory Of Love"" from The Karate Kid Part II",Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini
1986,MUSIC (Original Song),"""Somewhere Out There"" from An American Tail",Music by James Horner and Barry Mann; Lyric by Cynthia Weil
1986,SHORT FILM (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers"
1986,SHORT FILM (Live Action),Love Struck,"Fredda Weiss, Producer"
1986,WRITING (Screenplay Based on Material from Another Medium),Children of a Lesser God,"Hesper Anderson, Mark Medoff"
1986,WRITING (Screenplay Based on Material from Another Medium),Crimes of the Heart,Beth Henley
1986,WRITING (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala
1987,DOCUMENTARY (Feature),Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,"Callie Crossley and James A. DeVinney, Producers"
1987,DOCUMENTARY (Feature),A Stitch for Time,"Barbara Herbich and Cyril Christo, Producers"
1987,DOCUMENTARY (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Aviva Slesin, Producer"
1987,DOCUMENTARY (Short Subject),Frances Steloff: Memoirs of a Bookseller,"Deborah Dickson, Producer"
1987,DOCUMENTARY (Short Subject),Language Says It All,"Megan Williams, Producer"
1987,DOCUMENTARY (Short Subject),Silver into Gold,"Lynn Mueller, Producer"
1987,DOCUMENTARY (Short Subject),Young at Heart,"Sue Marx and Pamela Conn, Producers"
1987,MUSIC (Original Song),"""Nothing's Gonna Stop Us Now"" from Mannequin",Music and Lyric by Albert Hammond and Diane Warren
1987,BEST PICTURE,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers"
1987,SHORT FILM (Animated),George and Rosemary,"Eunice Macaulay, Producer"
1987,SHORT FILM (Live Action),Making Waves,"Ann Wingate, Producer"
1987,SHORT FILM (Live Action),Ray's Male Heterosexual Dance Hall,"Jonathan Sanger and Jana Sue Memel, Producers"
1988,DOCUMENTARY (Feature),Let's Get Lost,"Bruce Weber and Nan Bush, Producers"
1988,DOCUMENTARY (Feature),Promises to Keep,"Ginny Durrin, Producer"
1988,DOCUMENTARY (Feature),Who Killed Vincent Chin?,"Renee Tajima and Christine Choy, Producers"
1988,DOCUMENTARY (Short Subject),The Children's Storefront,"Karen Goodman, Producer"
1988,DOCUMENTARY (Short Subject),Family Gathering,"Lise Yasui and Ann Tegnell, Producers"
1988,DOCUMENTARY (Short Subject),Portrait of Imogen,"Nancy Hale and Meg Partridge, Producers"
1988,MUSIC (Original Song),"""Let The River Run"" from Working Girl",Music and Lyric by Carly Simon
1988,BEST PICTURE,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers"
1988,SHORT FILM (Live Action),Cadillac Dreams,"Matia Karrell, Abbee Goldstein"
1988,WRITING (Screenplay Based on Material from Another Medium),Gorillas in the Mist,"Screenplay by Anna Hamilton Phelan; Story by Anna Hamilton Phelan, Tab Murphy"
1988,WRITING (Screenplay Based on Material from Another Medium),Little Dorrit,Christine Edzard
1988,WRITING (Screenplay Written Directly for the Screen),Big,"Gary Ross, Anne Spielberg"
1988,WRITING (Screenplay Written Directly for the Screen),Running on Empty,Naomi Foner
1989,DOCUMENTARY (Feature),Adam Clayton Powell,"Richard Kilberg and Yvonne Smith, Producers"
1989,DOCUMENTARY (Feature),For All Mankind,"Al Reinert and Betsy Broyles Breier, Producers"
1989,DOCUMENTARY (Feature),Super Chief: The Life and Legacy of Earl Warren,"Judith Leonard and Bill Jersey, Producers"
1989,MUSIC (Original Song),"""The Girl Who Used To Be Me"" from Shirley Valentine",Music by Marvin Hamlisch; Lyric by Alan Bergman and Marilyn Bergman
1989,BEST PICTURE,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
1989,WRITING (Screenplay Written Directly for the Screen),When Harry Met Sally...,Nora Ephron
1990,DOCUMENTARY (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers"
1990,DOCUMENTARY (Feature),Building Bombs,"Mark Mori and Susan Robinson, Producers"
1990,DOCUMENTARY (Feature),Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,"Judith Montell, Producer"
1990,DOCUMENTARY (Short Subject),Chimps: So Like Us,"Karen Goodman and Kirk Simon, Producers"
1990,DOCUMENTARY (Short Subject),Rose Kennedy: A Life to Remember,"Freida Lee Mock and Terry Sanders, Producers"
1990,BEST PICTURE,Ghost,"Lisa Weinstein, Producer"
1990,SHORT FILM (Live Action),12:01 PM,"Hillary Ripps, Jonathan Heap"
1991,DOCUMENTARY (Feature),Doing Time: Life inside the Big House,"Alan Raymond and Susan Raymond, Producers"
1991,DOCUMENTARY (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers"
1991,DOCUMENTARY (Feature),The Restless Conscience,"Hava Kohav Beller, Producer"
1991,DOCUMENTARY (Feature),Wild by Law,"Lawrence Hott and Diane Garey, Producers"
1991,DOCUMENTARY (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Debra Chasnoff, Producer"
1991,DOCUMENTARY (Short Subject),A Little Vicious,"Immy Humes, Producer"
1991,BEST PICTURE,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers"
1991,SHORT FILM (Animated),Strings,Wendy Tilby
1991,WRITING (Screenplay Based on Material Previously Produced or Published),Europa Europa,Agnieszka Holland
1991,WRITING (Screenplay Based on Material Previously Produced or Published),Fried Green Tomatoes,"Fannie Flagg, Carol Sobieski"
1991,WRITING (Screenplay Based on Material Previously Produced or Published),The Prince of Tides,"Pat Conroy, Becky Johnston"
1991,WRITING (Screenplay Written Directly for the Screen),Grand Canyon,"Lawrence Kasdan, Meg Kasdan"
1991,WRITING (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri
1992,DOCUMENTARY (Feature),Fires of Kuwait,"Sally Dundas, Producer"
1992,DOCUMENTARY (Feature),Liberators: Fighting on Two Fronts in World War II,"William Miles and Nina Rosenblum, Producers"
1992,DOCUMENTARY (Feature),Music for the Movies: Bernard Herrmann,"Margaret Smilow and Roma Baran, Producers"
1992,DOCUMENTARY (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers"
1992,DOCUMENTARY (Short Subject),Beyond Imagining: Margaret Anderson and the 'Little Review',"Wendy L. Weinberg, Producer"
1992,DOCUMENTARY (Short Subject),The Colours of My Father: A Portrait of Sam Borenstein,"Richard Elson and Sally Bochner, Producers"
1992,DOCUMENTARY (Short Subject),Educating Peter,"Thomas C. Goodwin and Gerardine Wurzburg, Producers"
1992,DOCUMENTARY (Short Subject),When Abortion Was Illegal: Untold Stories,"Dorothy Fadiman, Producer"
1992,MUSIC (Original Song),"""I Have Nothing"" from The Bodyguard",Music by David Foster; Lyric by Linda Thompson
1992,SHORT FILM (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz
1992,SHORT FILM (Animated),"Reci, Reci, Reci... (Words, Words, Words)",Michaela Pavlátová
1992,SHORT FILM (Live Action),Contact,"Jonathan Darby, Jana Sue Memel"
1992,WRITING (Screenplay Based on Material Previously Produced or Published),Howards End,Ruth Prawer Jhabvala
1993,DIRECTING,The Piano,Jane Campion
1993,DOCUMENTARY (Feature),Children of Fate,"Susan Todd, Andrew Young"
1993,DOCUMENTARY (Feature),For Better or for Worse,"David Collier, Betsy Thompson"
1993,DOCUMENTARY (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond"
1993,DOCUMENTARY (Feature),The War Room,"D.A. Pennebaker, Chris Hegedus"
1993,DOCUMENTARY (Short Subject),Chicks in White Satin,"Elaine Holliman, Jason Schneider"
1993,DOCUMENTARY (Short Subject),Defending Our Lives,"Margaret Lazarus, Renner Wunderlich"
1993,MUSIC (Original Song),"""Again"" from Poetic Justice","Music and Lyric by Janet Jackson, James Harris III and Terry Lewis"
1993,MUSIC (Original Song),"""The Day I Fall In Love"" from Beethoven's 2nd","Music and Lyric by Carole Bayer Sager, James Ingram and Clif Magness"
1993,BEST PICTURE,The Piano,"Jan Chapman, Producer"
1993,SHORT FILM (Live Action),Down on the Waterfront,"Stacy Title, Jonathan Penner"
1993,SHORT FILM (Live Action),The Dutch Master,"Susan Seidelman, Jonathan Brett"
1993,SHORT FILM (Live Action),Partners,"Peter Weller, Jana Sue Memel"
1993,WRITING (Screenplay Based on Material Previously Produced or Published),The Remains of the Day,Ruth Prawer Jhabvala
1993,WRITING (Screenplay Written Directly for the Screen),The Piano,Jane Campion
1993,WRITING (Screenplay Written Directly for the Screen),Sleepless in Seattle,"Screenplay by Nora Ephron, David S. Ward, Jeff Arch; Story by Jeff Arch"
1994,DOCUMENTARY (Feature),Complaints of a Dutiful Daughter,Deborah Hoffmann
1994,DOCUMENTARY (Feature),Freedom on My Mind,"Connie Field, Marilyn Mulford"
1994,DOCUMENTARY (Feature),A Great Day in Harlem,Jean Bach
1994,DOCUMENTARY (Feature),Maya Lin: A Strong Clear Vision,"Freida Lee Mock, Terry Sanders"
